scale	N	K0	K1	K2	K3
21	33554432	1.39026e+06	1.64e+06	3.76602e+06	1.67662e+08
22	67108864	1.39888e+06	1.40887e+06	3.63794e+06	1.36072e+08
#	C++	run	on	2015-10-26	20:48:00	by	bradley@ip-172-31-14-15
#	scale	k0-edges-per-sec	k1-edges-per-sec	k2-edges-per-sec	k3-edges-per-sec
10	16384	1.8284e+06	1.70406e+06	2.93906e+06	5.10824e+08
11	32768	2.0948e+06	2.13958e+06	3.59676e+06	5.60373e+08
12	65536	2.55644e+06	2.8308e+06	4.56901e+06	7.43703e+08
13	131072	3.20615e+06	3.78642e+06	5.6769e+06	9.45552e+08
14	262144	3.83199e+06	4.13852e+06	5.41116e+06	8.70757e+08
15	524288	3.55183e+06	4.03235e+06	5.10291e+06	7.57473e+08
16	1048576	3.36023e+06	3.95401e+06	4.79656e+06	6.59578e+08
17	2097152	2.55445e+06	2.8401e+06	4.07818e+06	4.1286e+08
18	4194304	1.77306e+06	1.9223e+06	4.22972e+06	2.86824e+08
19	8388608	1.56025e+06	1.77103e+06	3.95635e+06	2.5109e+08
20	16777216	1.55366e+06	1.55448e+06	3.86131e+06	2.1943e+08
21	33554432	1.42465e+06	1.68451e+06	3.7619e+06	1.6885e+08
22	67108864	1.57385e+06	1.62667e+06	3.63966e+06	1.33066e+08
#	C++	run	on	2015-10-26	20:51:39	by	bradley@ip-172-31-14-15
#	scale	k0-edges-per-sec	k1-edges-per-sec	k2-edges-per-sec	k3-edges-per-sec
10	16384	1.89123e+06	1.79469e+06	3.15609e+06	5.46367e+08
11	32768	2.149e+06	2.08684e+06	3.52058e+06	5.2828e+08
12	65536	2.50651e+06	2.79429e+06	4.48272e+06	7.47876e+08
13	131072	3.24233e+06	3.7434e+06	5.60087e+06	9.45688e+08
14	262144	3.84379e+06	4.15135e+06	5.4204e+06	8.87334e+08
15	524288	3.57157e+06	4.04185e+06	5.09629e+06	7.76581e+08
16	1048576	3.37319e+06	3.95545e+06	4.79485e+06	6.44781e+08
17	2097152	2.80501e+06	2.91709e+06	4.09303e+06	4.18491e+08
18	4194304	1.91871e+06	2.19731e+06	3.97468e+06	2.87595e+08
19	8388608	1.58129e+06	1.58842e+06	3.95852e+06	2.52662e+08
20	16777216	1.32473e+06	1.76922e+06	3.87473e+06	2.21732e+08
21	33554432	1.33159e+06	1.69451e+06	3.77216e+06	1.6791e+08
22	67108864	1.51554e+06	1.65109e+06	3.63799e+06	1.26138e+08
#	C++	run	on	2015-10-26	20:55:22	by	bradley@ip-172-31-14-15
#	scale	k0-edges-per-sec	k1-edges-per-sec	k2-edges-per-sec	k3-edges-per-sec
10	16384	1.87857e+06	1.79384e+06	3.13514e+06	5.4255e+08
11	32768	2.14631e+06	2.21284e+06	3.68913e+06	6.26121e+08
12	65536	2.59306e+06	2.88187e+06	4.60209e+06	7.45401e+08
13	131072	3.31541e+06	3.92873e+06	5.8057e+06	9.47512e+08
