scale	vertices	K0	K1	K2	K3
16	1048576	3.248e+06	3.94095e+06	4.76555e+06	6.66034e+08
17	2097152	2.68212e+06	2.9159e+06	3.8566e+06	4.11446e+08
18	4194304	1.97758e+06	2.29864e+06	3.94446e+06	2.83085e+08
19	8388608	1.65473e+06	1.93389e+06	3.92549e+06	2.55791e+08
20	16777216	1.54795e+06	1.8403e+06	3.82518e+06	2.19251e+08
21	33554432	1.4473e+06	1.65842e+06	3.75494e+06	1.67706e+08
22	67108864	1.3697e+06	1.61992e+06	3.60125e+06	1.30332e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 19:26:33 by bradley@ip-172-31-14-15
10	16384	1.84341e+06	1.80102e+06	3.13632e+06	5.12351e+08
11	32768	2.09698e+06	2.2292e+06	3.68489e+06	5.58677e+08
12	65536	2.53694e+06	2.9049e+06	4.58299e+06	7.24039e+08
13	131072	3.2077e+06	3.84248e+06	5.67632e+06	8.74486e+08
14	262144	3.71357e+06	4.13955e+06	5.39631e+06	8.38765e+08
15	524288	3.44714e+06	4.02666e+06	5.06209e+06	7.61413e+08
16	1048576	3.256e+06	3.94746e+06	4.7755e+06	6.49859e+08
17	2097152	2.70002e+06	2.93754e+06	4.051e+06	4.15072e+08
18	4194304	1.88339e+06	2.13906e+06	3.94485e+06	2.89769e+08
19	8388608	1.72878e+06	1.87428e+06	3.92391e+06	2.57263e+08
20	16777216	1.3059e+06	1.49944e+06	3.84607e+06	2.21276e+08
21	33554432	1.217e+06	1.47128e+06	3.76027e+06	1.69898e+08
22	67108864	1.27113e+06	1.44835e+06	3.60063e+06	1.34082e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 19:30:36 by bradley@ip-172-31-14-15
10	16384	1.84104e+06	1.79888e+06	3.1424e+06	5.07946e+08
11	32768	2.08252e+06	2.22899e+06	3.68921e+06	5.65011e+08
12	65536	2.53633e+06	2.89094e+06	4.59208e+06	6.98317e+08
13	131072	3.19734e+06	3.85052e+06	5.65221e+06	8.61273e+08
14	262144	3.71864e+06	4.14368e+06	5.37564e+06	8.58197e+08
15	524288	3.44482e+06	4.04661e+06	5.06833e+06	7.61204e+08
16	1048576	3.26373e+06	3.95621e+06	4.76695e+06	6.61088e+08
17	2097152	2.62615e+06	2.88622e+06	3.95626e+06	4.22348e+08
18	4194304	1.97432e+06	2.13291e+06	3.93873e+06	2.88937e+08
19	8388608	1.61053e+06	1.88982e+06	3.92961e+06	2.57375e+08
20	16777216	1.40032e+06	1.73262e+06	3.84708e+06	2.18478e+08
21	33554432	1.34795e+06	1.1823e+06	3.76085e+06	1.67113e+08
22	67108864	1.32271e+06	1.54134e+06	3.59428e+06	1.32429e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 19:34:34 by bradley@ip-172-31-14-15
10	16384	1.82302e+06	1.78279e+06	3.13299e+06	5.12664e+08
11	32768	2.07496e+06	2.22382e+06	3.69344e+06	5.63843e+08
12	65536	2.53326e+06	2.89374e+06	4.58141e+06	6.98835e+08
13	131072	3.23094e+06	3.94486e+06	5.65728e+06	8.59663e+08
14	262144	3.69563e+06	4.13607e+06	5.33585e+06	8.45934e+08
15	524288	3.4421e+06	4.026e+06	5.05322e+06	7.59495e+08
16	1048576	3.2469e+06	3.94157e+06	4.76316e+06	6.6187e+08
17	2097152	2.68863e+06	2.9441e+06	4.02162e+06	4.09118e+08
18	4194304	1.93704e+06	2.25481e+06	3.94896e+06	2.86699e+08
19	8388608	1.63066e+06	1.90615e+06	3.92162e+06	2.56687e+08
20	16777216	1.56249e+06	1.81664e+06	3.82792e+06	2.18713e+08
21	33554432	1.40472e+06	1.62784e+06	3.74582e+06	1.66651e+08
22	67108864	1.1522e+06	1.55504e+06	3.59465e+06	1.34353e+08
#scale	vertices	K0	K1	K2	K3
# C++ run on 2015-10-31 19:38:30 by bradley@ip-172-31-14-15
10	16384	1.82595e+06	1.78726e+06	3.10346e+06	4.25008e+08
11	32768	2.08929e+06	2.22449e+06	3.68928e+06	5.66113e+08
12	65536	2.54283e+06	2.89891e+06	4.58798e+06	7.07122e+08
13	131072	3.21795e+06	3.84507e+06	5.63371e+06	9.00721e+08
14	262144	3.74264e+06	4.1915e+06	5.4509e+06	8.49608e+08
15	524288	3.4861e+06	4.07141e+06	5.10891e+06	7.9067e+08
16	1048576	3.27945e+06	3.98352e+06	4.84359e+06	6.75654e+08
17	2097152	2.69161e+06	2.85059e+06	4.03726e+06	4.07306e+08
18	4194304	1.97215e+06	2.03303e+06	3.95015e+06	2.84802e+08
19	8388608	1.56547e+06	1.65316e+06	3.9301e+06	2.57251e+08
20	16777216	1.52238e+06	1.48001e+06	3.85018e+06	2.20088e+08
21	33554432	1.3559e+06	1.47488e+06	3.75997e+06	1.67231e+08
22	67108864	1.25938e+06	1.51139e+06	3.60751e+06	1.33302e+08
